trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2020,False,"{'a': 0.3, 'e': 0.13265411551592868}",35,26,8.931297402375993,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2021,False,"{'a': 0.3, 'e': 0.13252146140041274}",25,17,1.417337169547651,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2022,False,"{'a': 0.3, 'e': 0.13238893993901232}",20,0,-26.733058683240195,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2023,False,"{'a': 0.3, 'e': 0.13225655099907332}",20,8,6.585968077547212,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2024,False,"{'a': 0.3, 'e': 0.13212429444807425}",35,15,-23.966367131393866,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
2025,False,"{'a': 0.3, 'e': 0.1319921701536262}",20,16,7.491450754969397,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2026,False,"{'a': 0.3, 'e': 0.13186017798347255}",20,6,20.95503775113477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2027,False,"{'a': 0.3, 'e': 0.13172831780548908}",30,18,19.62501725277138,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2028,False,"{'a': 0.3, 'e': 0.13159658948768357}",30,21,19.280023029754737,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2029,False,"{'a': 0.3, 'e': 0.1314649928981959}",25,7,30.574090591964016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2030,False,"{'a': 0.3, 'e': 0.1313335279052977}",20,13,10.931555952549843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2031,False,"{'a': 0.3, 'e': 0.13120219437739242}",20,12,12.610723531170407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2032,False,"{'a': 0.3, 'e': 0.13107099218301502}",20,11,16.608709852860386,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2033,False,"{'a': 0.3, 'e': 0.130939921190832}",25,16,20.464324668367396,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2034,False,"{'a': 0.3, 'e': 0.13080898126964116}",25,17,-25.63674912122221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
2035,False,"{'a': 0.3, 'e': 0.13067817228837153}",30,16,1.5008657273984185,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2036,False,"{'a': 0.3, 'e': 0.13054749411608316}",20,12,13.288712216103608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2037,False,"{'a': 0.3, 'e': 0.13041694662196707}",25,3,31.823420908044206,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
2038,False,"{'a': 0.3, 'e': 0.1302865296753451}",25,15,-30.13444952204226,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
2039,False,"{'a': 0.3, 'e': 0.13015624314566976}",25,15,18.222305025549275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2040,False,"{'a': 0.3, 'e': 0.1300260869025241}",20,9,24.025428080684907,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2041,False,"{'a': 0.3, 'e': 0.12989606081562158}",30,8,38.610223882017905,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2042,False,"{'a': 0.3, 'e': 0.12976616475480596}",30,18,-21.77949945129481,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
